Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;ShortName6;Time6;Speed6;Stroke6;
190;USA2;00:35.860;5.5;40.0;GBR1;00:35.577;5.6;42.0;AUS2;00:35.628;5.6;42.0;IRL1;00:37.051;5.4;45.0;ITA1;00:36.257;5.4;43.0;;00:00.000;0.0;0.0
195;USA2;00:36.794;5.5;40.0;GBR1;00:36.534;5.6;42.0;AUS2;00:36.627;5.6;41.0;IRL1;00:37.954;5.4;45.0;ITA1;00:37.268;5.4;42.0;;00:00.000;0.0;0.0
200;USA2;00:37.749;5.5;40.0;GBR1;00:37.379;5.6;42.0;AUS2;00:37.509;5.6;41.0;IRL1;00:38.836;5.4;45.0;ITA1;00:38.204;5.4;42.0;;00:00.000;0.0;0.0
205;USA2;00:38.590;5.5;40.0;GBR1;00:38.263;5.6;42.0;AUS2;00:38.362;5.6;41.0;IRL1;00:39.842;5.4;45.0;ITA1;00:39.059;5.4;42.0;;00:00.000;0.0;0.0
210;USA2;00:39.565;5.5;40.0;GBR1;00:39.197;5.6;42.0;AUS2;00:39.339;5.6;41.0;IRL1;00:40.767;5.4;45.0;ITA1;00:40.066;5.4;42.0;;00:00.000;0.0;0.0
215;USA2;00:40.445;5.5;40.0;GBR1;00:39.986;5.6;41.0;AUS2;00:40.160;5.6;41.0;IRL1;00:41.622;5.4;45.0;ITA1;00:40.993;5.4;42.0;;00:00.000;0.0;0.0
220;USA2;00:41.353;5.4;40.0;GBR1;00:40.963;5.6;41.0;AUS2;00:41.112;5.5;41.0;IRL1;00:42.627;5.4;45.0;ITA1;00:41.869;5.3;42.0;;00:00.000;0.0;0.0
225;USA2;00:42.322;5.5;40.0;GBR1;00:41.846;5.6;41.0;AUS2;00:42.052;5.5;41.0;IRL1;00:43.576;5.4;45.0;ITA1;00:42.873;5.3;42.0;;00:00.000;0.0;0.0
230;USA2;00:43.137;5.5;40.0;GBR1;00:42.710;5.6;41.0;AUS2;00:42.873;5.5;41.0;IRL1;00:44.419;5.3;44.0;ITA1;00:43.782;5.4;42.0;;00:00.000;0.0;0.0
235;USA2;00:44.138;5.4;40.0;GBR1;00:43.663;5.6;41.0;AUS2;00:43.864;5.5;41.0;IRL1;00:45.440;5.3;44.0;ITA1;00:44.709;5.3;42.0;;00:00.000;0.0;0.0
240;USA2;00:45.050;5.5;40.0;GBR1;00:44.455;5.6;41.0;AUS2;00:44.688;5.5;41.0;IRL1;00:46.383;5.4;44.0;ITA1;00:45.695;5.3;42.0;;00:00.000;0.0;0.0
245;USA2;00:45.946;5.4;40.0;GBR1;00:45.449;5.6;41.0;AUS2;00:45.664;5.5;40.0;IRL1;00:47.234;5.3;44.0;ITA1;00:46.582;5.3;42.0;;00:00.000;0.0;0.0
250;USA2;00:46.946;5.4;40.0;GBR1;00:46.362;5.6;41.0;AUS2;00:46.621;5.5;40.0;IRL1;00:48.219;5.3;44.0;ITA1;00:47.521;5.3;42.0;;00:00.000;0.0;0.0
255;USA2;00:47.773;5.4;40.0;GBR1;00:47.206;5.5;41.0;AUS2;00:47.442;5.4;40.0;IRL1;00:49.195;5.3;44.0;ITA1;00:48.517;5.3;42.0;;00:00.000;0.0;0.0
260;USA2;00:48.804;5.3;39.0;GBR1;00:48.205;5.5;41.0;AUS2;00:48.446;5.4;40.0;IRL1;00:50.053;5.3;44.0;ITA1;00:49.356;5.3;42.0;;00:00.000;0.0;0.0
265;USA2;00:49.729;5.3;39.0;GBR1;00:49.011;5.5;40.0;AUS2;00:49.296;5.5;40.0;IRL1;00:51.062;5.3;44.0;ITA1;00:50.387;5.3;42.0;;00:00.000;0.0;0.0
270;USA2;00:50.666;5.3;39.0;GBR1;00:50.013;5.4;40.0;AUS2;00:50.253;5.4;40.0;IRL1;00:52.015;5.3;43.0;ITA1;00:51.347;5.3;42.0;;00:00.000;0.0;0.0
275;USA2;00:51.692;5.3;38.0;GBR1;00:50.955;5.4;40.0;AUS2;00:51.213;5.4;39.0;IRL1;00:52.873;5.3;43.0;ITA1;00:52.201;5.3;42.0;;00:00.000;0.0;0.0
280;USA2;00:52.545;5.2;38.0;GBR1;00:51.803;5.4;40.0;AUS2;00:52.081;5.4;39.0;IRL1;00:53.855;5.3;43.0;ITA1;00:53.207;5.3;42.0;;00:00.000;0.0;0.0
285;USA2;00:53.604;5.2;38.0;GBR1;00:52.816;5.4;40.0;AUS2;00:53.048;5.4;39.0;IRL1;00:54.846;5.3;43.0;ITA1;00:54.178;5.3;42.0;;00:00.000;0.0;0.0
290;USA2;00:54.551;5.2;38.0;GBR1;00:53.627;5.4;39.0;AUS2;00:53.918;5.4;39.0;IRL1;00:55.732;5.3;43.0;ITA1;00:55.046;5.3;42.0;;00:00.000;0.0;0.0
295;USA2;00:55.488;5.2;38.0;GBR1;00:54.648;5.4;39.0;AUS2;00:54.851;5.4;39.0;IRL1;00:56.686;5.3;43.0;ITA1;00:56.042;5.3;42.0;;00:00.000;0.0;0.0
300;USA2;00:56.518;5.2;38.0;GBR1;00:55.552;5.4;39.0;AUS2;00:55.826;5.4;39.0;IRL1;00:57.683;5.3;43.0;ITA1;00:57.005;5.3;42.0;;00:00.000;0.0;0.0
